"semanticResourceURN";"Code List";"Code Value";"codeName";"Definition";"resourceSubTypeCode";"Domain";"ExternalLink";"changeLog";"Status";"Version"
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_LACTOSE";"PackagingMarkedFreeFromCode";"FREE_FROM_LACTOSE";;"The item is physically marked as being free of lactose.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_LATEX";"PackagingMarkedFreeFromCode";"FREE_FROM_LATEX";;"The item is physically marked being free from Latex (rubber) as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_LEGUME_PROTEIN";"PackagingMarkedFreeFromCode";"FREE_FROM_LEGUME_PROTEIN";;"The item is physically marked as being free from legume protein, as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_MACADAMIA";"PackagingMarkedFreeFromCode";"FREE_FROM_MACADAMIA";;"The item is physically marked as being free from macadamia nuts. Macadamia is a genus of four species of trees indigenous to Australia and constituting part of the plant family Proteaceae.  They grow naturally in north eastern New South Wales and central and south eastern Queensland. Common names include macadamia, macadamia nut, Queensland nut, bush nut, maroochi nut, queen of nuts and bauple nut; and from Indigenous Australians' languages bauple, gyndl, jindilli, and boombera. Previously, more species, with disjunct distributions, were named as members of this genus Macadamia. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_MILK";"PackagingMarkedFreeFromCode";"FREE_FROM_MILK";;"The item is physically marked as being free from milk and any of its derivates, as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_MILK_PROTEIN";"PackagingMarkedFreeFromCode";"FREE_FROM_MILK_PROTEIN";;"The item is physically marked as being free from milk protein.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_MOLLUSCS";"PackagingMarkedFreeFromCode";"FREE_FROM_MOLLUSCS";;"The item is physically marked as being free from molluscs. The mollusc is an invertebrate of a large phylum that includes snails, slugs, mussels, and octopuses. They have a soft, unsegmented body and live in aquatic or damp habitats, and most kinds have an external calcareous shell.  ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_MUSTARD";"PackagingMarkedFreeFromCode";"FREE_FROM_MUSTARD";;"The item is physically marked as being free from mustard. Mustard is a pungent-tasting yellow or brown paste made from the crushed seeds of certain plants, typically eaten with meat or used as a cooking ingredient. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_NATURAL_GLUTEN";"PackagingMarkedFreeFromCode";"FREE_FROM_NATURAL_GLUTEN";;"The item is physically marked as being naturally free from gluten and not extracted as part of the manufacturing process, as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_OAT";"PackagingMarkedFreeFromCode";"FREE_FROM_OAT";;"The item is physically marked as being free from oats. The oat is a cereal plant cultivated chiefly in cool climates and widely used for animal feed as well as human consumption.  The grain yielded by this, used as food.  ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PARABEN";"PackagingMarkedFreeFromCode";"FREE_FROM_PARABEN";"Free from Paraben";"Free from Any of a group of compounds used as preservatives in pharmaceutical and cosmetic products and in the food industry.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PEA_PROTEIN";"PackagingMarkedFreeFromCode";"FREE_FROM_PEA_PROTEIN";;"The item is physically marked as being free from pea protein, as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PEANUTS";"PackagingMarkedFreeFromCode";"FREE_FROM_PEANUTS";;"The item is physically marked as being free from peanuts.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PEANUTS_AND_MADE_IN_A_PEANUT_FREE_FACILITY";"PackagingMarkedFreeFromCode";"FREE_FROM_PEANUTS_AND_MADE_IN_A_PEANUT_FREE_FACILITY";;"The item is physically marked as peanut free and made in a peanut free facility.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PECANS";"PackagingMarkedFreeFromCode";"FREE_FROM_PECANS";;"The item is physically marked as being free pecans. The pecan  is a species of hickory, native to south-central North America, in Mexico from Coahuila south to Jalisco and Veracruz in the United States in Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, South Carolina, Tennessee, and Texas.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PHOSPHATES";"PackagingMarkedFreeFromCode";"FREE_FROM_PHOSPHATES";"Free From Phosphates";"A phosphate (PO3−4) is an inorganic chemical and a salt of phosphoric acid. In organic chemistry, a phosphate, or organophosphate, is an ester of phosphoric acid. Of the various phosphoric acids and phosphates, organic phosphates are important in biochemistry and biogeochemistry (ecology), and inorganic phosphates are mined to obtain phosphorus for use in agriculture and industry.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";5
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PHTHALATE";"PackagingMarkedFreeFromCode";"FREE_FROM_PHTHALATE";"Free from Phthalate";"Free from Phthalates or phthalate esters, are esters of phthalic acid. They are mainly used as plasticizers, i.e., substances added to plastics to increase their flexibility, transparency, durability, and longevity. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PINENUTS";"PackagingMarkedFreeFromCode";"FREE_FROM_PINENUTS";;"The item is physically marked as being free pine nuts. The pine nut is the edible seed of various pine trees.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PISTACHIOS";"PackagingMarkedFreeFromCode";"FREE_FROM_PISTACHIOS";;"The item is physically marked as being free pistachios. The pistachio is the edible pale green seed of an Asian tree.
";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_POLYETHYLENE_MICROBEADS";"PackagingMarkedFreeFromCode";"FREE_FROM_POLYETHYLENE_MICROBEADS";"Free From Polyethylene Microbeads";"Polyethylene Microbeads These tiny pieces of plastic used in personal care products are designed to go down the drain and into our lakes, rivers, and oceans — by the billions every day. They absorb toxins in the water, are eaten by marine life, and can make their way up the food chain all the way to our dinner plates.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";6
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PROTEIN";"PackagingMarkedFreeFromCode";"FREE_FROM_PROTEIN";;"The item is physically marked as being free from protein, as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_PVC";"PackagingMarkedFreeFromCode";"FREE_FROM_PVC";;"The item is physically marked as being free from PVC (Polyvinyl chloride), as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_RYE";"PackagingMarkedFreeFromCode";"FREE_FROM_RYE";;"The item is physically marked as being free from rye. Rye is a wheat like cereal plant that tolerates poor soils and low temperatures. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_SESAME";"PackagingMarkedFreeFromCode";"FREE_FROM_SESAME";;"The item is physically marked as being free sesame. The sesame is a tall annual herbaceous plant of tropical and subtropical areas of the Old World, cultivated for its oil-rich seeds.  The sesame is the edible seeds of the sesame plant, which are used whole or have the oil extracted.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_SOYA";"PackagingMarkedFreeFromCode";"FREE_FROM_SOYA";;"The item is physically marked as being free from soya.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_SUGAR";"PackagingMarkedFreeFromCode";"FREE_FROM_SUGAR";;"The item is physically marked as being free from sugar.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_SULFATE";"PackagingMarkedFreeFromCode";"FREE_FROM_SULFATE";"Free from Sulfate";"Free from A salt or ester of sulfuric acid, containing the anion SO42− or the divalent group —OSO2O—.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_TRANSFAT";"PackagingMarkedFreeFromCode";"FREE_FROM_TRANSFAT";;"The item is physically marked being free from Trans Fatty Acids (Trans Fat) as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_TREE_NUTS";"PackagingMarkedFreeFromCode";"FREE_FROM_TREE_NUTS";;"The item is physically marked as being free from Tree Nuts, as approved by the appropriate authority of the target market. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_TRICLOSAN";"PackagingMarkedFreeFromCode";"FREE_FROM_TRICLOSAN";"Free From Triclosan";" Triclosan, similar in its uses and mechanism of action to triclocarban, is an antibacterial and antifungal agent found in consumer products, including toothpaste, soaps, detergents, toys, and surgical cleaning treatments.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";6
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_TRITICALE";"PackagingMarkedFreeFromCode";"FREE_FROM_TRITICALE";;"The item is physically marked as being free from triticale. Triticale is a hybrid grain produced by crossing wheat and rye, grown as a fodder crop.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_WALNUTS";"PackagingMarkedFreeFromCode";"FREE_FROM_WALNUTS";;"Free from walnuts. The walnut is the large wrinkled edible seed of a deciduous tree, consisting of two halves contained within a hard shell that is enclosed in a green fruit. The tall tree that produces the walnut, with compound leaves and valuable ornamental timber that is used chiefly in cabinetmaking and gunstocks.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:FREE_FROM_WHEAT";"PackagingMarkedFreeFromCode";"FREE_FROM_WHEAT";;"Free from wheat. Wheat is a cereal plant that is the most important kind grown in temperate countries, the grain of which is ground to make flour for bread, pasta, pastry, etc.  It is the grain of the wheat plant. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:REDUCED_LACTOSE";"PackagingMarkedFreeFromCode";"REDUCED_LACTOSE";;"The item is physically marked as having a reduced amount of lactose";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:REDUCED_PROTEIN";"PackagingMarkedFreeFromCode";"REDUCED_PROTEIN";;"The item is physically marked as containing a low level of protein as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:REDUCED_TRANSFAT";"PackagingMarkedFreeFromCode";"REDUCED_TRANSFAT";;"The item is physically marked as having a reduced amount of transfats (unsaturated).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:VERY_LOW_GLUTEN";"PackagingMarkedFreeFromCode";"VERY_LOW_GLUTEN";;"The item is physically marked as as a very low amount of gluten. Very low is frequently determined through regulation for example, per EU Regulation (EC) No 41/2009 [of 20 January 2009], this is defined as containing between 20 and 100 mg/kg).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:WITHOUT_ADDED_SUGAR";"PackagingMarkedFreeFromCode";"WITHOUT_ADDED_SUGAR";;"The item is physically marked that no sugar has been added when manufacturing the product but it still can contain sugars that are naturally part of the ingredients, as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedFreeFromCode:WITHOUT_ADDED_SWEETENER";"PackagingMarkedFreeFromCode";"WITHOUT_ADDED_SWEETENER";;"The item is physically marked that no sweetener has been added when manufacturing the product as approved by the appropriate authority of the target market.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode";"PackagingMarkedLabelAccreditationCode";;;"Code list developed and managed by GS1. ";"CODELIST";"GDSN";;"CHANGED";"CURRENT";9
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:100_PERCENT_CANADIAN_MILK";"PackagingMarkedLabelAccreditationCode";"100_PERCENT_CANADIAN_MILK";"100 Percent Canadian Milk";"The use of a ""100% Canadian Milk"" or ""100% Canadian Dairy"" claim, with or without logos, vignettes etc., when used on dairy products, indicates all of the dairy ingredients in the product are derived from Canadian sources.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:100_PERCENT_VEGANSKT";"PackagingMarkedLabelAccreditationCode";"100_PERCENT_VEGANSKT";"100% Veganskt";"100% Veganskt (Vegan) is certified by Djurens rätt (Animal rights) and shows that the product does not contain animal ingredients.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ACMI";"PackagingMarkedLabelAccreditationCode";"ACMI";"Art And Creative Materials Institute, Inc.";"Art And Creative Materials Institute, Inc.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ADCCPA";"PackagingMarkedLabelAccreditationCode";"ADCCPA";"ADCCPA";"The ADCCPA is a non-profit association established in 1995, for the development of food product conformity certification. It manages the ""CQ - Certified Product"" logo, identifying the Product Conformance Certification (CCP) approach.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";"9"
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AFIA_PET_FOOD_FACILITY";"PackagingMarkedLabelAccreditationCode";"AFIA_PET_FOOD_FACILITY";"AFIA Pet Food Facility ";"AFIA Pet Food Ingredient Facility Certification Program is launched by the American Feed Industry Association and administered by the Safe Quality Food Institute (SQFI). The program builds upon the domestic Safe Feed/Safe Food program, but is designed to meet the safety issues specifically related to the manufacturing of pet food. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";6
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AGENCE_BIO";"PackagingMarkedLabelAccreditationCode";"AGENCE_BIO";"BIO Agency";"The BIO Agency is a public interest group whose mission is to develop and promote organic agriculture.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AGRI_CONFIANCE";"PackagingMarkedLabelAccreditationCode";"AGRI_CONFIANCE";"AGRI Confiance";"Where do the food products come from? How and by whom are they produced? Are they respectful of the environment?
It is to answer all these questions that Agri Confiance® was created in 1992. A collective approach of the producers organized in cooperative, engaged for a sustainable agriculture and for each one of us. A controlled engagement. An ambition. A movement. For there to be trust between us.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";"9"
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AGRI_NATURA";"PackagingMarkedLabelAccreditationCode";"AGRI_NATURA";"Agri Natura";"Certification for meat out of integrated production based on principles of IP-Suisse. Label owned by Ernst Sutter AG.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AGRICULTURE_BIOLOGIQUE";"PackagingMarkedLabelAccreditationCode";"AGRICULTURE_BIOLOGIQUE";"Agriculture Biologique";"France's national logo for organic products since 1985. Organic products carrying the logo must contain more than 95 percent organic components and be produced or processed within the EU, and were certified by one of the inspection bodies accredited according to EN 45011.";"CODEVALUE";"GDSN";;"CHANGED";"CURRENT";6
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AHAM";"PackagingMarkedLabelAccreditationCode";"AHAM";"Air cleaner performance standard
e.g., humidifier";"The Association of Home Appliance Manufacturers (AHAM) is an organization that verifies the volume, energy and in some cases, performance, of many common household appliances. Since 1967, we've used outside laboratories to test products, and today you'll find the AHAM Verified Mark on all products included in our program – making comparing products easier for you";"CODEVALUE";"GDSN";;"NEW";"CURRENT";4
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AISE";"PackagingMarkedLabelAccreditationCode";"AISE";"A.I.S.E";"A.I.S.E., the international Association for Soaps, Detergents and Maintenance Products is the official representative body of this industry in Europe.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AISE_2005";"PackagingMarkedLabelAccreditationCode";"AISE_2005";"A.I.S.E 2005";"The International Association for Soaps, Detergents and Maintenance Products: This Charter logo on a product means that the company placing this product on the market is committed to the industry Charter for Sustainable Cleaning, and that the company has successfully complied with the Charter Sustainability Procedures. Consumers and professional users who see this logo on a product can be assured that the company making this product is voluntarily committed to delivering continual improvements in safety, environmental friendliness and other key aspects of sustainability. Only those companies that have signed up to the Charter, and meet the licensing conditions, are permitted to use it.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AISE_2010";"PackagingMarkedLabelAccreditationCode";"AISE_2010";"A.I.S.E 2010";"The International Association for Soaps, Detergents and Maintenance Products This logo will certify that the company which manufactured the product is following Charter update 2010 sustainability principles.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AKC_PEACH_KOSHER";"PackagingMarkedLabelAccreditationCode";"AKC_PEACH_KOSHER";"Atlanta Kashrus Commission Certification  ";"Atlanta Kashrus Commission Certification  ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";6
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ALIMENTS_BIO_PREPARES_AU_QUEBEC";"PackagingMarkedLabelAccreditationCode";"ALIMENTS_BIO_PREPARES_AU_QUEBEC";"Aliments BIO Prepares au Quebec ";"The presence of Quebec Bio Food prepared on a product means that it is composed of minimally 85% of Quebec organic products. The processing and packaging of these foods must also be made in Québec";"CODEVALUE";"GDSN";;"NEW";"CURRENT";8
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ALIMENTS_DU_QUEBEC";"PackagingMarkedLabelAccreditationCode";"ALIMENTS_DU_QUEBEC";"Aliments du Quebec";"Aliments du Québec is an organization whose mission is to promote Quebec agri-food products.  Promotional activities, brand identification at the points-of-sale and special events are all ways to inform consumers about the availability of Quebec food products
Aliments du Québec is the holder of the unique label of origin for Quebec food products, recognized by the whole agri-food industry, we manage two certifications: Aliments du Québec and Aliments préparés au Québec.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";8
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ALIMENTS_DU_QUEBEC_BIO";"PackagingMarkedLabelAccreditationCode";"ALIMENTS_DU_QUEBEC_BIO";"Aliments du Quebec BIO";"The presence of Quebec organic Food on a product means that it is entirely made from ingredients sourced in Quebec and composed of minimally 85% of Quebec organic products.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";8
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ALIMENTS_PREPARES_AU_QUEBEC";"PackagingMarkedLabelAccreditationCode";"ALIMENTS_PREPARES_AU_QUEBEC";"Aliments Prepares au Quebec";"Any product processed and packaged entirely in Quebec can be considered an ""Aliments préparés au Québec .  When the main ingredients are available in Quebec in sufficient quantities, they must be used. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";8
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ALPINAVERA";"PackagingMarkedLabelAccreditationCode";"ALPINAVERA";"Alpinavera";"Certification for products with regional provenance of the Swiss regions Graubünden, Uri, Glarus and Tessin.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ALUMINIUM_GESAMTVERBAND_DER_ALUMINIUMINDUSTRIE";"PackagingMarkedLabelAccreditationCode";"ALUMINIUM_GESAMTVERBAND_DER_ALUMINIUMINDUSTRIE";;"The packaging is recyclable aluminium by Gesamtverband der Aluminiumindustrie.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AMA_ORGANIC_SEAL";"PackagingMarkedLabelAccreditationCode";"AMA_ORGANIC_SEAL";"Austria Ministry of Agriculture Organic Organic Seal";"Austria Ministry of Agriculture Organic Label, AMA Marketing licenses the AMA organic logo. Red, white and black indicates the majority of ingredients are of Austrian origin.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AMA_ORGANIC_SEAL_BLACK";"PackagingMarkedLabelAccreditationCode";"AMA_ORGANIC_SEAL_BLACK";"Austria Ministry of Agriculture Organic Organic Black";"AMA Assurance Organic products with a national origin are uniformly marked with the black AMA organic label without indication of origin.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AMA_SEAL_OF_APPROVAL";"PackagingMarkedLabelAccreditationCode";"AMA_SEAL_OF_APPROVAL";"Austria Ministry of Agriculture Organic Organic Approval";"The AMA quality label ensures independent controls and stands for conventionally produced foods that meet exceptional quality criteria and whose origin is traceable.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AMERICAN_DENTAL_ASSOCIATION";"PackagingMarkedLabelAccreditationCode";"AMERICAN_DENTAL_ASSOCIATION";"American Dental Association";"The American Dental Association's (ADA) Seal of Acceptance is a trusted symbol of a dental product's safety and effectiveness. In order to earn the Seal, manufacturers must supply objective data from clinical and/or laboratory studies that support the product's safety, effectiveness, and promotional claims. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";6
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AMERICAN_HEART_ASSOCIATION_CERTIFIED";"PackagingMarkedLabelAccreditationCode";"AMERICAN_HEART_ASSOCIATION_CERTIFIED";"American Heart Association Certified";"The American Heart Association Certified attribute includes all products that have published the symbol by Heart-Check Food Certification Program on their packaging. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";6
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ANIMAL_WELFARE_APPROVED_GRASSFED";"PackagingMarkedLabelAccreditationCode";"ANIMAL_WELFARE_APPROVED_GRASSFED";"Animal Welfare Approved Grassfed";"Guarantees the meat comes from an animal raised entirely outdoors on pasture, and fed a 100-per-cent grass and forage diet.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:APPELLATION_ORIGINE_CONTROLEE";"PackagingMarkedLabelAccreditationCode";"APPELLATION_ORIGINE_CONTROLEE";"Appellation Origine Controlee";"The registered designation of origin (AOC) is a label allowing to identify a product whose manufacturing stages (production and processing) are carried out in the same geographical area and according to recognized know-how. It is the combination of a physical and biological environment with a traditional human community which bases the specificity of an AOC product, with definition in a specification.

The French AOC is an official French label that meets the criteria of the European Protected Designation of Origin (PDO). In France, since 2012, for products other than wine, the term AOC is replaced by AOP as soon as the product is registered at the European level.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";"9"
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:APPROVED_BY_ASTHMA_AND_ALLERGY_ASSOC ";"PackagingMarkedLabelAccreditationCode";"APPROVED_BY_ASTHMA_AND_ALLERGY_ASSOC";"Approved by the Asthma and Allergy Association";"The Association's recommendation of products should be seen as a guide for the consumer in the search for products that are good from an allergy point of view. Since the mid-1970s, the Asthma and Allergy Association has developed its business for product recommendations.”";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AQUA_GAP";"PackagingMarkedLabelAccreditationCode";"AQUA_GAP";"Aqua GAP";"Certification programme for sustainable aquaculture.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:AQUACULTURE_STEWARDSHIP_COUNCIL";"PackagingMarkedLabelAccreditationCode";"AQUACULTURE_STEWARDSHIP_COUNCIL";"Aquaculture Stewardship Council";"The Aquaculture Stewardship Council ASC certification and labelling programme for responsibly farmed seafood.  A global organisation working with aquaculture producers, seafood processors, retail and foodservice companies, scientists, conservation groups and the public to promote the best environmental and social choice in seafood. The ASC's aquaculture certification programme and seafood label will recognise and reward responsible aquaculture.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ARGE_GENTECHNIK_FREI";"PackagingMarkedLabelAccreditationCode";"ARGE_GENTECHNIK_FREI";"ARGE";"ARGE logo stands for the production of food without genetically modified additives.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ARGENCERT";"PackagingMarkedLabelAccreditationCode";"ARGENCERT";"Argencert";"Argencert guarantees the organic quality of a product from its origin to the final result, certifying both raw and processed products and the compatibility assessment of inputs.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";8
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ARLA_FARMER_OWNED";"PackagingMarkedLabelAccreditationCode";"ARLA_FARMER_OWNED";"Arla Farmer Owned";"The FARMER OWNED marque has been develop to use on pack on all Arla branded products. FARMER OWNED represents the fact that Arla Foods is 100% owned by farmers. The FARMER OWNED marque is implemented on Arla branded assortment across all markets. The Farmer Owned marque is owned and administered by Arla Foods.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";5
"urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ASCO";"PackagingMarkedLabelAccreditationCode";"ASCO";"Organic Certifying Body – Agricultural Services Certified Organic (ASCO)";"Agricultural Services Certified Organic, LLC provides quality, express and economical organic certification services as established by the National Organic Program that meets the individualized needs of our clients in the global market place";"CODEVALUE";"GDSN";;"NEW";"CURRENT";4
