"semanticResourceURN";"Code Value";"resourceSubTypeCode";"Code List";"Domain";"ExternalLink";"codeName";"Definition";"changeLog";"Status";"Version";"Change Date";"changeLogComment"
"urn:gs1:gdd:cl:ObservationTypeCode:DIRECTION";"DIRECTION";"CODEVALUE";"ObservationTypeCode";"EDI";;"Direction";"The course along which a ship, aircraft, etc., is traveling, expressed as the angle between true or magnetic north and an imaginary line through the main fore-and-aft axis of the means of transport. Minimum is 0, maximum is 359.99";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:DOOR_STATUS";"DOOR_STATUS";"CODEVALUE";"ObservationTypeCode";"EDI";;"Door status";"The state of the door of the transport means or equipment expressed as open or closed.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:ELIPSOID_ELEVATION";"ELIPSOID_ELEVATION";"CODEVALUE";"ObservationTypeCode";"EDI";;"Elipsoid elevation";"Vertical distance from a point down to sea level, based on the reference ellipsoid, rather than true sea level.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:ENGINE_STATUS";"ENGINE_STATUS";"CODEVALUE";"ObservationTypeCode";"EDI";;"Engine status";"Operating state of the engine of the transport means.  Possible values are “On” and “Off”.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:FUEL_CONSUMPTION_AVERAGE";"FUEL_CONSUMPTION_AVERAGE";"CODEVALUE";"ObservationTypeCode";"EDI";;"Fuel consumption average";"The consumption of fuel expressed as an intermediate scale value.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:GPS_STATUS";"GPS_STATUS";"CODEVALUE";"ObservationTypeCode";"EDI";;"Gps status";"Status of the GPS Signal coverage. Values are “Under signal”, “No signal” or “Unknown”";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:LATITUDE";"LATITUDE";"CODEVALUE";"ObservationTypeCode";"EDI";;"Latitude";"The angle, in degrees, of a position on Earth above the equator. (Latitude is negative for a place below the equator.)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:LOAD_WEIGHT_EXCLUDING_MEANS_AND_EQUIPMENT";"LOAD_WEIGHT_EXCLUDING_MEANS_AND_EQUIPMENT";"CODEVALUE";"ObservationTypeCode";"EDI";;"Load weight excluding means and equipment";"Weight of the cargo as loaded on a means of transport, excluding the weight of the means and equipment.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:LOAD_WEIGHT_INCLUDING_MEANS_AND_EQUIPMENT";"LOAD_WEIGHT_INCLUDING_MEANS_AND_EQUIPMENT";"CODEVALUE";"ObservationTypeCode";"EDI";;"Load weight including means and equipment";"Weight of the cargo as loaded on a means of transport, including the weight of the means and equipment.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:LONGITUDE";"LONGITUDE";"CODEVALUE";"ObservationTypeCode";"EDI";;"Longitude";"The geographic coordinate most commonly used in cartography and global navigation for east-west measurement. Constant longitude is represented by lines running from north to south.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:ORTHOMETRIC_ELEVATION";"ORTHOMETRIC_ELEVATION";"CODEVALUE";"ObservationTypeCode";"EDI";;"Orthometric elevation";"Vertical distance from the Mean Sea Level (MSL).";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:RELATIVE_HUMIDITY";"RELATIVE_HUMIDITY";"CODEVALUE";"ObservationTypeCode";"EDI";;"Relative humidity";"The ratio of the amount of water in the air at a given temperature to the maximum amount it could hold at that temperature; expressed as a percentage";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:SPEED";"SPEED";"CODEVALUE";"ObservationTypeCode";"EDI";;"Speed";"The rate of movement at which a means of transport is operating.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:ObservationTypeCode:TEMPERATURE";"TEMPERATURE";"CODEVALUE";"ObservationTypeCode";"EDI";;"Temperature";"The degree or intensity of heat present in a substance or object.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderEntryTypeCode";;"CODELIST";"OrderEntryTypeCode";"EDI";;;"Code specifying the entry channel of customer orders";"NEW";"CURRENT";1;01/03/2017;"WR 15-282"
"urn:gs1:gdd:cl:OrderEntryTypeCode:APPLICATION_CONSOLE";"APPLICATION_CONSOLE";"CODEVALUE";"OrderEntryTypeCode";"EDI";;"Application console";"The order was placed via application where business users perform order-related tasks and inventory management";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderEntryTypeCode:CALL_CENTRE";"CALL_CENTRE";"CODEVALUE";"OrderEntryTypeCode";"EDI";;"Call centre";"The order was placed using a call centre";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderEntryTypeCode:CATALOGUE";"CATALOGUE";"CODEVALUE";"OrderEntryTypeCode";"EDI";;"Catalogue";"The order was placed using a catalogue";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderEntryTypeCode:MOBILE";"MOBILE";"CODEVALUE";"OrderEntryTypeCode";"EDI";;"Mobile";"The order was placed using a mobile device, such as a cell phone or tablet";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderEntryTypeCode:ONLINE";"ONLINE";"CODEVALUE";"OrderEntryTypeCode";"EDI";;"Online";"The order was placed using an online channel";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderEntryTypeCode:POS";"POS";"CODEVALUE";"OrderEntryTypeCode";"EDI";;"POS";"The order was placed using a store system";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderInstructionCode";;"CODELIST";"OrderInstructionCode";"EDI";;;"Code list developed and managed by GS1.";"CHANGED";"CURRENT";3;01/05/2019;
"urn:gs1:gdd:cl:OrderInstructionCode:BACK_ORDERS_ACCEPTED";"BACK_ORDERS_ACCEPTED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Back orders accepted";"Back orders accepted when partial delivery";"NEW";"CURRENT";2;01/03/2017;"WR 16-066"
"urn:gs1:gdd:cl:OrderInstructionCode:BACK_ORDERS_ACCEPTED";"CHARTER_SERVICE";"CODEVALUE";"TransportServiceLevelCode";"EDI";;"Charter service";"Transportation of goods based on contracted exclusive use of a transport means at a fixed rate, under one contract, for a specified itinerary.";"NEW";"CURRENT";3;01/03/2017;"WR 16-226"
"urn:gs1:gdd:cl:OrderInstructionCode:BACK_ORDERS_NOT_ACCEPTED";"BACK_ORDERS_NOT_ACCEPTED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Back orders not accepted";"No back orders accepted when partial delivery";"NEW";"CURRENT";2;01/03/2017;"WR 16-066"
"urn:gs1:gdd:cl:OrderInstructionCode:BACK_ORDERS_NOT_ACCEPTED";"COURIER_SERVICE";"CODEVALUE";"TransportServiceLevelCode";"EDI";;"Courier service";"Fast, door to door, local or international, pickup and delivery service for high-value goods or urgently required documents.";"NEW";"CURRENT";3;01/03/2017;"WR 16-226"
"urn:gs1:gdd:cl:OrderInstructionCode:CASE_SPLITTING_ALLOWED";"CASE_SPLITTING_ALLOWED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Case Splitting Allowed";"The standard case may be split apart";"NEW";"CURRENT";3;01/05/2019;
"urn:gs1:gdd:cl:OrderInstructionCode:CASE_SPLITTING_NOT_ALLOWED";"CASE_SPLITTING_NOT_ALLOWED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Case Splitting Not Allowed";"The standard case must not be split apart";"NEW";"CURRENT";3;01/05/2019;
"urn:gs1:gdd:cl:OrderInstructionCode:FRESH_ITEM_REQUIRED";"FRESH_ITEM_REQUIRED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Fresh item required";"The product must be more fresh (newer) than the one used for fulfilling the previous order";"NEW";"CURRENT";3;01/05/2019;
"urn:gs1:gdd:cl:OrderInstructionCode:NO_PARTIAL_DELIVERY_ALLOWED";"NO_PARTIAL_DELIVERY_ALLOWED";"CODEVALUE";"OrderInstructionCode";"EDI";;"No partial delivery allowed";"The goods that are not delivered have to be re-ordered by the buyer. Supplier only delivers the goods they have in stock at that moment. One order leads to one delivery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderInstructionCode:OVER_SHIP_ALLOWED";"OVER_SHIP_ALLOWED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Over ship Allowed";"The quantity of an item contained in a case may be larger than the quantity ordered.";"NEW";"CURRENT";3;01/05/2019;
"urn:gs1:gdd:cl:OrderInstructionCode:OVER_SHIP_NOT_ALLOWED";"OVER_SHIP_NOT_ALLOWED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Over ship Not Allowed";"The quantity of an item contained in a case must not be larger than the quantity ordered. Any overage needs to be sent to the warehouse or back to the supplier.";"NEW";"CURRENT";3;01/05/2019;
"urn:gs1:gdd:cl:OrderInstructionCode:PACK_SEPARATELY";"PACK_SEPARATELY";"CODEVALUE";"OrderInstructionCode";"EDI";;"Pack separately";"The items for this order must be packed separately from other orders in one or more logistic unit(s) which may all be part of the same shipment or consignment.";"NEW";"CURRENT";1;;"BRAD RQ 10-019"
"urn:gs1:gdd:cl:OrderInstructionCode:PARTIAL_DELIVERY_ALLOWED";"PARTIAL_DELIVERY_ALLOWED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Partial delivery allowed";"The supplier keeps delivering until the entire order is fulfilled. One order can lead to many deliveries. The buyer doesn't need to place a new order; they just waits for the other goods to be delivered.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderInstructionCode:STANDARD_CASE_NOT_REQUIRED";"STANDARD_CASE_NOT_REQUIRED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Standard Case Not Required";"The order may be delivered in non-standard case";"NEW";"CURRENT";3;01/05/2019;
"urn:gs1:gdd:cl:OrderInstructionCode:STANDARD_CASE_REQUIRED";"STANDARD_CASE_REQUIRED";"CODEVALUE";"OrderInstructionCode";"EDI";;"Standard Case Required";"The order must be delivered in standard case";"NEW";"CURRENT";3;01/05/2019;
"urn:gs1:gdd:cl:OrderRelationshipTypeCode";;"CODELIST";"OrderRelationshipTypeCode";"EDI";;;"Code specifying relationship between related Purchase Order messages";"NEW";"CURRENT";1;01/03/2017;"WR 15-282"
"urn:gs1:gdd:cl:OrderRelationshipTypeCode:CHAINED";"CHAINED";"CODEVALUE";"OrderRelationshipTypeCode";"EDI";;"Chained";"A new order is created as a result of processing a parent order";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderRelationshipTypeCode:DEPENDENT";"DEPENDENT";"CODEVALUE";"OrderRelationshipTypeCode";"EDI";;"Dependent";"One transfer order must be completed before another transfer order can begin";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderRelationshipTypeCode:RELATED";"RELATED";"CODEVALUE";"OrderRelationshipTypeCode";"EDI";;"Related";"An order created with dependent relationships";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode";;"CODELIST";"OrderTypeCode";"EDI";;;"Code list based on the UN/EDIFACT 1001. GS1 Restricted and Extended.";"CHANGED";"CURRENT";2;01/07/2016;
"urn:gs1:gdd:cl:OrderTypeCode:220";"220";"CODEVALUE";"OrderTypeCode";"EDI";;"Order";"Document/message by means of which a buyer initiates a transaction with a seller involving the supply of goods or services as specified, according to conditions set out in an offer, or otherwise known to the buyer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:221";"221";"CODEVALUE";"OrderTypeCode";"EDI";;"Blanket order";"Usage of document/message for general order purposes with later split into quantities and delivery dates and maybe delivery locations.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:223";"223";"CODEVALUE";"OrderTypeCode";"EDI";;"Lease Order";"  Document/message for goods in leasing contracts.";"NEW";"CURRENT";2;01/07/2016;"WR 16-271"
"urn:gs1:gdd:cl:OrderTypeCode:224";"224";"CODEVALUE";"OrderTypeCode";"EDI";;"Rush order";"Document/message for urgent ordering.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:225";"225";"CODEVALUE";"OrderTypeCode";"EDI";;"Repair order";"Document/message to order repair of goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:226";"226";"CODEVALUE";"OrderTypeCode";"EDI";;"Call off order";"Document/message to provide split quantities and delivery dates referring to a previous blanket order.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:227";"227";"CODEVALUE";"OrderTypeCode";"EDI";;"Consignment order";"Order to deliver goods into stock with agreement on payment when goods are sold out of this stock.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:22E";"22E";"CODEVALUE";"OrderTypeCode";"EDI";;"Manufacturer raised order (GS1 Code)";"Document/message providing details of an order which has been raised by a manufacturer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:237";"237";"CODEVALUE";"OrderTypeCode";"EDI";;"Cross docking services order";"A document or message to order cross docking services.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:258";"258";"CODEVALUE";"OrderTypeCode";"EDI";;"Standing order";"An order to supply fixed quantities of products at fixed regular intervals.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:400";"400";"CODEVALUE";"OrderTypeCode";"EDI";;"Exceptional order";"An order which falls outside the framework of an agreement";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:401";"401";"CODEVALUE";"OrderTypeCode";"EDI";;"Transshipment order";"An order requesting the supply of products packed according to the final delivery point which will be moved across a dock in a distribution centre without further handling.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OrderTypeCode:402";"402";"CODEVALUE";"OrderTypeCode";"EDI";;"Cross docking order";"An order requesting the supply of products which will be moved across a dock, de-consolidated and re-consolidated according to the final delivery location requirements.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OutOfStockMeasurementTypeCode";;"CODELIST";"OutOfStockMeasurementTypeCode";"EDI";;;"Code list developed and managed by GS1. ";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:OutOfStockMeasurementTypeCode:MANUAL_AUDIT";"MANUAL_AUDIT";"CODEVALUE";"OutOfStockMeasurementTypeCode";"EDI";;;"Visual inspection of stocking locations";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OutOfStockMeasurementTypeCode:OTHER";"OTHER";"CODEVALUE";"OutOfStockMeasurementTypeCode";"EDI";;;"Other method";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OutOfStockMeasurementTypeCode:PERPETUAL_INVENTORY";"PERPETUAL_INVENTORY";"CODEVALUE";"OutOfStockMeasurementTypeCode";"EDI";;;"Estimate of on-hand balance based upon the previous inventory value, adjusted by subsequent sales and receipts";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OutOfStockMeasurementTypeCode:RFID_EPC";"RFID_EPC";"CODEVALUE";"OutOfStockMeasurementTypeCode";"EDI";;;"Physical count of items at stocking locations taken by radio frequency identification";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OutOfStockMeasurementTypeCode:SALES_DATA_ANALYSIS";"SALES_DATA_ANALYSIS";"CODEVALUE";"OutOfStockMeasurementTypeCode";"EDI";;;"Estimate of on-hand balance based upon the observed vs. expected rate of sale";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OwnershipTransferConditionCode";;"CODELIST";"OwnershipTransferConditionCode";"EDI";;;"Code specifying base for discount, fee reduction or bonus.";"NEW";"CURRENT";1;01/03/2017;"WR 16-023"
"urn:gs1:gdd:cl:OwnershipTransferConditionCode:FULL_PAYMENT";"FULL_PAYMENT";"CODEVALUE";"OwnershipTransferConditionCode";"EDI";;"Full payment";"Fee reduction applies, due to discount and bonus agreements";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OwnershipTransferConditionCode:OUTSTANDING_PAYMENT";"OUTSTANDING_PAYMENT";"CODEVALUE";"OwnershipTransferConditionCode";"EDI";;"Outstanding payment";"Fee reduction applies, due to our current business terms.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:OwnershipTransferConditionCode:OUTSTANDING_PAYMENT_AND_RESALE";"OUTSTANDING_PAYMENT_AND_RESALE";"CODEVALUE";"OwnershipTransferConditionCode";"EDI";;"Outstanding payment and resale";"Discount or bonus agreements apply.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageLevelCode";;"CODELIST";"PackageLevelCode";"EDI";;;"Code list based on the UN/EDIFACT 7075. GS1 Extended.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:PackageLevelCode:1";"1";"CODEVALUE";"PackageLevelCode";"EDI";;"Inner";"Level of packing, if it exists, that is immediately subordinate to the intermediate packaging level.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageLevelCode:1E";"1E";"CODEVALUE";"PackageLevelCode";"EDI";;"Highest (GS1 Code)";"Level of packaging, if it exists, which is highest in the packaging hierarchy.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageLevelCode:2";"2";"CODEVALUE";"PackageLevelCode";"EDI";;"Intermediate";"Level of packaging, if it exists, that is immediately subordinate to the outer packaging level.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageLevelCode:3";"3";"CODEVALUE";"PackageLevelCode";"EDI";;"Outer";"For packed merchandise, outermost level of packaging for a shipment.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageLevelCode:4";"4";"CODEVALUE";"PackageLevelCode";"EDI";;"No packaging hierarchy";"There is no specifiable level of packaging: packaging is inner and outer level as well.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageLevelCode:5";"5";"CODEVALUE";"PackageLevelCode";"EDI";;"Shipment Level";"The packaging level described is the shipment level.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode";;"CODELIST";"PackageTypeCode";"EDI";;;"Code list based on the UN/ECE Recommendation 21. GS1 Extended.";"CHANGED";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:1A";"1A";"CODEVALUE";"PackageTypeCode";"EDI";;"Drum, steel";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:1B";"1B";"CODEVALUE";"PackageTypeCode";"EDI";;"Drum, aluminium";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:1D";"1D";"CODEVALUE";"PackageTypeCode";"EDI";;"Drum, plywood";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:1F";"1F";"CODEVALUE";"PackageTypeCode";"EDI";;"Container, flexible";"A packaging container of flexible construction.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:1G";"1G";"CODEVALUE";"PackageTypeCode";"EDI";;"Drum, fibre";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:1W";"1W";"CODEVALUE";"PackageTypeCode";"EDI";;"Drum, wooden";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:200";"200";"CODEVALUE";"PackageTypeCode";"EDI";;"Pallet ISO 0 - 1/2 EURO Pallet (GS1 Code)";"Standard pallet with dimensions 80 X 60 cm.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:201";"201";"CODEVALUE";"PackageTypeCode";"EDI";;"Pallet ISO 1 - 1/1 EURO Pallet (GS1 Code)";"Standard pallet with dimensions 80 X 120 cm.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:202";"202";"CODEVALUE";"PackageTypeCode";"EDI";;"Pallet ISO 2 – 2/1 EURO Pallet (GS1 Code)";"Standard pallet with dimensions 100 X 120 cm.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:203";"203";"CODEVALUE";"PackageTypeCode";"EDI";;"1/4 EURO Pallet (GS1 Code) ";"Standard pallet with dimensions 60 X 40 cm.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:204";"204";"CODEVALUE";"PackageTypeCode";"EDI";;"1/8 EURO Pallet (GS1 Code)";"Standard pallet with dimensions 40 X 30 cm.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:205";"205";"CODEVALUE";"PackageTypeCode";"EDI";;"Synthetic pallet ISO 1 (GS1 Code)";"A standard pallet with standard dimensions 80*120cm made of a synthetic material for hygienic reasons.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:206";"206";"CODEVALUE";"PackageTypeCode";"EDI";;"Synthetic pallet ISO 2 (GS1 Code)";"A standard pallet with standard dimensions 100*120cm made of a synthetic material for hygienic reasons.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:210";"210";"CODEVALUE";"PackageTypeCode";"EDI";;"Wholesaler pallet (GS1 Code)";"Pallet provided by the wholesaler.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:211";"211";"CODEVALUE";"PackageTypeCode";"EDI";;"Pallet 80 X 100 cm (GS1 Code)";"Pallet with dimensions 80 X 100 cm.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:212";"212";"CODEVALUE";"PackageTypeCode";"EDI";;"Pallet 60 X 100 cm (GS1 Code)";"Pallet with dimensions 60 X 100 cm.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:2C";"2C";"CODEVALUE";"PackageTypeCode";"EDI";;"Barrel, wooden";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:3A";"3A";"CODEVALUE";"PackageTypeCode";"EDI";;"Jerrican, steel";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:3H";"3H";"CODEVALUE";"PackageTypeCode";"EDI";;"Jerrican, plastic";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:43";"43";"CODEVALUE";"PackageTypeCode";"EDI";;"Bag, super bulk";"A cloth plastic or paper based bag having the dimensions of the pallet on which it is constructed.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:44";"44";"CODEVALUE";"PackageTypeCode";"EDI";;"Bag, polybag";"A type of plastic bag, typically used to wrap promotional pieces, publications, product samples, and/or catalogues. ";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:4A";"4A";"CODEVALUE";"PackageTypeCode";"EDI";;"Box, steel";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:4B";"4B";"CODEVALUE";"PackageTypeCode";"EDI";;"Box, aluminium";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:4C";"4C";"CODEVALUE";"PackageTypeCode";"EDI";;"Box, natural wood";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:4D";"4D";"CODEVALUE";"PackageTypeCode";"EDI";;"Box, plywood";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:4F";"4F";"CODEVALUE";"PackageTypeCode";"EDI";;"Box, reconstituted wood";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:4G";"4G";"CODEVALUE";"PackageTypeCode";"EDI";;"Box, fibreboard";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:4H";"4H";"CODEVALUE";"PackageTypeCode";"EDI";;"Box, plastic";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:5H";"5H";"CODEVALUE";"PackageTypeCode";"EDI";;"Bag, woven plastic";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:5L";"5L";"CODEVALUE";"PackageTypeCode";"EDI";;"Bag, textile";;"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:5M";"5M";"CODEVALUE";"PackageTypeCode";"EDI";;"Bag, paper";;"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:6H";"6H";"CODEVALUE";"PackageTypeCode";"EDI";;"Composite packaging, plastic receptacle";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:6P";"6P";"CODEVALUE";"PackageTypeCode";"EDI";;"Composite packaging, glass receptacle";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:7A";"7A";"CODEVALUE";"PackageTypeCode";"EDI";;"Case, car";"A type of portable container designed to store equipment for carriage in an automobile.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:7B";"7B";"CODEVALUE";"PackageTypeCode";"EDI";;"Case, wooden";"A case made of wood for retaining substances or articles.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:8";"8";"CODEVALUE";"PackageTypeCode";"EDI";;"Oneway pallet (GS1 Code)  ";"Pallet need not be returned to the point of expedition";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:8A";"8A";"CODEVALUE";"PackageTypeCode";"EDI";;"Pallet, wooden";"A platform or open-ended box, made of wood, on which goods are retained for ease of mechanical handling during transport and storage.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:8B";"8B";"CODEVALUE";"PackageTypeCode";"EDI";;"Crate, wooden";"A receptacle, made of wood, on which goods are retained for ease of mechanical handling during transport and storage.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:8C";"8C";"CODEVALUE";"PackageTypeCode";"EDI";;"Bundle, wooden";"Loose or unpacked pieces of wood tied or wrapped together. ";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:9";"9";"CODEVALUE";"PackageTypeCode";"EDI";;"Returnable pallet (GS1 Code)  ";"Pallet must be returned to the point of expedition.";"NEW";"CURRENT";2;01/09/2014;"WR 14-027 Aligned with EANCOM DE 7065 "
"urn:gs1:gdd:cl:PackageTypeCode:AA";"AA";"CODEVALUE";"PackageTypeCode";"EDI";;"Intermediate bulk container, rigid plastic";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:AB";"AB";"CODEVALUE";"PackageTypeCode";"EDI";;"Receptacle, fibre ";"Containment vessel made of fibre used for retaining substances or articles.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:AC";"AC";"CODEVALUE";"PackageTypeCode";"EDI";;"Receptacle, paper ";"Containment vessel made of paper for retaining substances or articles.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:PackageTypeCode:AD";"AD";"CODEVALUE";"PackageTypeCode";"EDI";;"Receptacle, wooden ";"Containment vessel made of wood for retaining substances or articles.";"NEW";"CURRENT";1;;
